ID	M	x	y	z	vx	vy	vz	eps
422	0.009930486593843098	-0.12418397790874075	0.07334287873597839	0.0	-1.3793959763212384	-2.3355897996249744	0.0	0.118
423	0.009930486593843098	-0.14030690346278002	0.08286505537818657	0.0	-1.4966214814650136	-2.534075730256633	0.0	0.118
424	0.009930486593843098	-0.15852308398254544	0.09362350539237162	0.0	-1.611633110671615	-2.728813131716641	0.0	0.118
425	0.009930486593843098	-0.179104288777946	0.10577873534207317	0.0	-1.7185269634215825	-2.9098055344864853	0.0	0.118
426	0.009930486593843098	-0.20235757123035752	0.1195120905126892	0.0	-1.8119797807838427	-3.0680396099255174	0.0	0.118
427	0.009930486593843098	-0.22862984975763137	0.1350284604228213	0.0	-1.8882424121605252	-3.197167305665916	0.0	0.118
428	0.009930486593843098	-0.2583130835302066	0.1525593355947661	0.0	-1.9454953323701185	-3.294107806244212	0.0	0.118
429	0.009930486593843098	-0.291850120155434	0.17236626118846612	0.0	-1.9836701044700575	-3.35874523440129	0.0	0.118
430	0.009930486593843098	-0.3297413025723912	0.19474473902408493	0.0	-2.0040096727424244	-3.3931841402710954	0.0	0.118
431	0.009930486593843098	-0.37255193372622225	0.22002863620793517	0.0	-2.008601824612883	-3.400959560274549	0.0	0.118
432	0.009930486593843098	-0.42092071038834017	0.2485951661345598	0.0	-2.000017224875258	-3.386424137578499	0.0	0.118
433	0.009930486593843098	-0.47556925194763633	0.28087051617711484	0.0	-1.9811076536159602	-3.35440649905654	0.0	0.118
434	0.009930486593843098	-0.5373128663338381	0.31733620602621954	0.0	-1.9549982087775524	-3.310198052689248	0.0	0.118
435	0.009930486593843098	-0.6070727136910726	0.35853627153806766	0.0	-1.925334498288801	-3.259971532657395	0.0	0.118
436	0.009930486593843098	-0.6858895492728941	0.4050853812684639	0.0	-1.896733556263692	-3.2115444895166276	0.0	0.118
437	0.009930486593843098	-0.77493925059062	0.4576780067842984	0.0	-1.8714368933157628	-3.1687122434031476	0.0	0.118
438	0.009930486593843098	-0.09151456172430185	0.04031234292879723	0.0	-0.8377610895098375	-1.9018328721697513	0.0	0.118
439	0.009930486593843098	-0.10339598548474654	0.04554613326870348	0.0	-0.9172800020037889	-2.0823517380300296	0.0	0.118
440	0.009930486593843098	-0.11681998594463001	0.051459431653341325	0.0	-1.0028784580697474	-2.276672003785588	0.0	0.118
441	0.009930486593843098	-0.13198683732374514	0.05814045926714269	0.0	-1.093476516830856	-2.482342055145284	0.0	0.118
442	0.009930486593843098	-0.14912281563688673	0.06568889113595155	0.0	-1.1864036670101754	-2.693299464293384	0.0	0.118
443	0.009930486593843098	-0.16848357453196014	0.07421734319029498	0.0	-1.2775758306663845	-2.9002728127090633	0.0	0.118
444	0.009930486593843098	-0.1903579594164052	0.08385305239551191	0.0	-1.3623128603388874	-3.092637522098323	0.0	0.118
445	0.009930486593843098	-0.21507231677533076	0.09473977501479625	0.0	-1.436394895498832	-3.26081392879543	0.0	0.118
446	0.009930486593843098	-0.2429953629725757	0.10703993132556039	0.0	-1.4968499047591382	-3.3980551128731578	0.0	0.118
447	0.009930486593843098	-0.2745436851729055	0.12093702878639165	0.0	-1.5422355118247342	-3.5010866818031885	0.0	0.118
448	0.009930486593843098	-0.3101879564542397	0.13663839980611045	0.0	-1.572497465276259	-3.5697854774035607	0.0	0.118
449	0.009930486593843098	-0.35045995783389006	0.15437829496002398	0.0	-1.5886210734715112	-3.6063882851344102	0.0	0.118
450	0.009930486593843098	-0.39596051197123544	0.17442137780142808	0.0	-1.5922613698898462	-3.6146522585744774	0.0	0.118
451	0.009930486593843098	-0.44736844691066024	0.1970666734078547	0.0	-1.5854561751664868	-3.5992035307826753	0.0	0.118
452	0.009930486593843098	-0.5054507235958804	0.22265202957088495	0.0	-1.570466156005689	-3.5651741260377734	0.0	0.118
453	0.009930486593843098	-0.5710738782492157	0.25155915718653576	0.0	-1.5497686439871081	-3.5181879276788885	0.0	0.118
454	0.009930486593843098	-0.6452169503259924	0.2842193250443888	0.0	-1.5262535900226735	-3.4648055216679174	0.0	0.118
455	0.009930486593843098	-0.7289860889177272	0.3211197939766812	0.0	-1.5035810152141666	-3.4133356591886574	0.0	0.118
